,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
1446, MS,LINCOLN ,401,34523,1161.54,970.93,0.01%
1447, MS,LOWNDES ,643,59602,1078.82,942.83,0.02%
1448, MS,MADISON ,957,105114,910.44,900.78,0.03%
1449, MS,MARION ,343,25251,1358.36,1071.6,0.01%
1450, MS,MARSHALL ,368,35801,1027.9,881.79,0.01%
1451, MS,MONROE ,455,35873,1268.36,979.63,0.02%
1452, MS,MONTGOMERY ,148,10187,1452.83,1070.76,0.01%
1453, MS,NESHOBA ,419,29403,1425.02,1287.27,0.02%
1454, MS,NEWTON ,284,21558,1317.38,1085.57,0.01%
1455, MS,NOXUBEE ,130,11038,1177.75,1002.48,0.00%
1456, MS,OKTIBBEHA ,309,49833,620.07,743.83,0.01%
1457, MS,PANOLA ,398,34164,1164.97,1044.96,0.01%
1458, MS,PEARL RIVER ,660,55310,1193.27,971.55,0.02%
1459, MS,PERRY ,130,12245,1061.66,857.44,0.00%
1460, MS,PIKE ,505,39667,1273.1,1080.09,0.02%
1461, MS,PONTOTOC ,301,31550,954.04,869.42,0.01%
1462, MS,PRENTISS ,311,25256,1231.39,983.36,0.01%
1463, MS,QUITMAN ,87,7349,1183.83,970.69,0.00%
1464, MS,RANKIN ,1141,150228,759.51,722.15,0.04%
1465, MS,SCOTT ,278,28207,985.57,907.61,0.01%
1466, MS,SHARKEY ,60,4552,1318.1,935.02,0.00%
1467, MS,SIMPSON ,308,26912,1144.47,940.28,0.01%
1468, MS,SMITH ,173,15909,1087.43,843.17,0.01%
1469, MS,STONE ,211,18012,1171.44,1088.86,0.01%
1470, MS,SUNFLOWER ,302,26407,1143.64,1100.87,0.01%
1471, MS,TALLAHATCHIE ,149,14394,1035.15,936.67,0.01%
1472, MS,TATE ,297,28201,1053.15,944.96,0.01%
1473, MS,TIPPAH ,293,22190,1320.41,1135.27,0.01%
1474, MS,TISHOMINGO ,279,19491,1431.43,1070.9,0.01%
1475, MS,TUNICA ,103,10234,1006.45,1088.19,0.00%
1476, MS,UNION ,328,28311,1158.56,982.02,0.01%
1477, MS,WALTHALL ,188,14599,1287.76,948.81,0.01%
1478, MS,WARREN ,576,47140,1221.89,1053.41,0.02%
1479, MS,WASHINGTON ,582,47231,1232.24,1134.82,0.02%
1480, MS,WAYNE ,220,20480,1074.22,918.61,0.01%
1481, MS,WEBSTER ,137,9767,1402.68,1120.04,0.00%
1482, MS,WILKINSON ,136,9047,1503.26,1203.85,0.00%
1483, MS,WINSTON ,231,18160,1272.03,986.96,0.01%
1484, MS,YALOBUSHA ,180,12471,1443.35,1064.99,0.01%
1485, MS,YAZOO ,304,27264,1115.02,1055.32,0.01%
1486, MO,ADAIR ,209,25359,824.16,755.26,0.01%
1487, MO,ANDREW ,176,17350,1014.41,767.52,0.01%
1488, MO,ATCHISON ,74,5293,1398.07,818.8,0.00%
1489, MO,AUDRAIN ,301,26021,1156.76,868.32,0.01%
1490, MO,BARRY ,445,35732,1245.38,878.91,0.02%
