State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
CT,New London,2462,269801,912.52,696.13,0.09%
CT,Tolland,1057,151118,699.45,609.31,0.04%
CT,Windham,1047,116192,901.09,749.05,0.04%
DC,District Of Columbia,5037,681170,739.46,766,0.18%
DE,Kent,1618,174827,925.49,794.79,0.06%
DE,New Castle,4678,556987,839.88,736,0.17%
DE,Sussex,2578,220251,1170.48,749.47,0.09%
FL,Alachua,1946,263496,738.53,727.27,0.07%
FL,Baker,247,27937,884.13,865.35,0.01%
FL,Bay,1924,183974,1045.8,850.4,0.07%
FL,Bradford,314,26926,1166.16,870.62,0.01%
FL,Brevard,7315,579130,1263.1,769.77,0.27%
FL,Broward,15282,1909632,800.26,627.08,0.56%
FL,Calhoun,184,14423,1275.74,961.38,0.01%
FL,Charlotte,2564,178465,1436.7,619.28,0.09%
FL,Citrus,2503,143621,1742.78,845.69,0.09%
FL,Clay,1748,208311,839.13,783.23,0.06%
FL,Collier,3273,365136,896.38,433.86,0.12%
FL,Columbia,772,69299,1114.01,867.33,0.03%
FL,Desoto,334,35800,932.96,672.75,0.01%
FL,Dixie,204,16300,1251.53,889.21,0.01%
FL,Duval,8064,926255,870.6,827.44,0.29%
FL,Escambia,3303,315187,1047.95,866.85,0.12%
FL,Flagler,1280,108310,1181.79,650.08,0.05%
FL,Franklin,145,11901,1218.39,900.31,0.01%
FL,Gadsden,464,46006,1008.56,842.34,0.02%
FL,Gilchrist,162,17212,941.2,671.54,0.01%
FL,Glades,120,13970,858.98,574.76,0.00%
FL,Gulf,183,15990,1144.47,868.93,0.01%
FL,Hamilton,130,14361,905.23,770.85,0.00%
FL,Hardee,229,27360,836.99,725.51,0.01%
FL,Hendry,311,39290,791.55,766.28,0.01%
FL,Hernando,2734,182835,1495.34,809.31,0.10%
FL,Highlands,1574,100917,1559.7,730.54,0.06%
FL,Hillsborough,10640,1376238,773.12,726.35,0.39%
FL,Holmes,259,19487,1329.09,972.17,0.01%
FL,Indian River,2076,151563,1369.73,631.28,0.08%
FL,Jackson,610,48229,1264.8,914.78,0.02%
FL,Jefferson,191,13906,1373.51,936.8,0.01%
FL,Lafayette,75,8617,870.37,799.44,0.00%
FL,Lake,4110,335396,1225.42,699.7,0.15%
FL,Lee,6949,722336,962.02,559.33,0.25%
FL,Leon,1802,287822,626.08,661.45,0.07%
FL,Levy,560,39961,1401.37,912.29,0.02%
FL,Liberty,59,8202,719.34,780.02,0.00%
FL,Madison,231,18224,1267.56,920.81,0.01%
FL,Manatee,4055,375888,1078.78,638.23,0.15%
FL,Marion,5097,349020,1460.37,845.11,0.19%
FL,Martin,1994,158701,1256.45,593.88,0.07%
FL,Miami-Dade,20277,2712945,747.42,588.64,0.74%
FL,Monroe,747,79077,944.65,661.11,0.03%
FL,Nassau,839,80622,1040.66,768.94,0.03%
FL,Okaloosa,1737,201170,863.45,752.52,0.06%
FL,Okeechobee,469,40314,1163.37,881.84,0.02%
FL,Orange,7960,1314367,605.61,665.9,0.29%
FL,Osceola,2169,336015,645.51,654.55,0.08%
FL,Palm Beach,14656,1443810,1015.09,575.42,0.53%
FL,Pasco,6030,512368,1176.89,759.8,0.22%
FL,Pinellas,11843,960730,1232.71,707.13,0.43%
FL,Polk,6699,666149,1005.63,739.54,0.24%
FL,Putnam,962,72277,1330.99,915.09,0.04%
FL,Santa Rosa,1445,170497,847.52,777.8,0.05%
FL,Sarasota,5689,412569,1378.92,587.5,0.21%
FL,Seminole,3433,455479,753.71,637.31,0.13%
FL,St. Johns,1922,235087,817.57,605.25,0.07%
FL,St. Lucie,3222,306507,1051.2,662.88,0.12%
FL,Sumter,1848,123996,1490.37,604.57,0.07%
FL,Suwannee,559,43794,1276.43,883.02,0.02%
FL,Taylor,281,22175,1267.19,985.45,0.01%
FL,Union,233,15142,1538.77,1493.58,0.01%
FL,Volusia,7006,529364,1323.47,798.44,0.26%
FL,Wakulla,304,31893,953.19,931.35,0.01%
FL,Walton,635,65889,963.74,746.35,0.02%
FL,Washington,331,24569,1347.23,1078.3,0.01%
GA,Appling,192,18428,1041.89,875.15,0.01%
GA,Atkinson,84,8273,1015.35,1156.63,0.00%
