,State,County,Hospital,Number of Completed Surveys,FIPS
363,GA,Towns,1.0,59.0,13281
364,GA,Troup,1.0,572.0,13285
365,GA,Union,1.0,440.0,13291
366,GA,Upson,1.0,251.0,13293
367,GA,Walton,1.0,537.0,13297
368,GA,Ware,1.0,386.0,13299
369,GA,Washington,1.0,117.0,13303
370,GA,Wayne,1.0,227.0,13305
371,GA,Whitfield,1.0,407.0,13313
372,GA,Wilkes,1.0,50.0,13317
373,HI,Hawaii,6.0,1356.0,15001
374,HI,Honolulu,10.0,10218.0,15003
375,HI,Kauai,3.0,585.0,15007
376,HI,Maui,4.0,575.0,15009
377,IA,Adams,1.0,50.0,19003
378,IA,Allamakee,1.0,160.0,19005
379,IA,Appanoose,1.0,127.0,19007
380,IA,Benton,1.0,90.0,19011
381,IA,Black Hawk,3.0,1471.0,19013
382,IA,Boone,1.0,222.0,19015
383,IA,Bremer,2.0,205.0,19017
384,IA,Buchanan,1.0,82.0,19019
385,IA,Buena Vista,1.0,248.0,19021
386,IA,Calhoun,1.0,114.0,19025
387,IA,Carroll,2.0,455.0,19027
388,IA,Cass,1.0,119.0,19029
389,IA,Cerro Gordo,1.0,1304.0,19033
390,IA,Cherokee,1.0,175.0,19035
391,IA,Chickasaw,1.0,52.0,19037
392,IA,Clarke,1.0,50.0,19039
393,IA,Clay,1.0,337.0,19041
394,IA,Clayton,2.0,136.0,19043
395,IA,Clinton,2.0,827.0,19045
396,IA,Crawford,1.0,148.0,19047
397,IA,Dallas,1.0,50.0,19049
398,IA,Davis,1.0,55.0,19051
399,IA,Decatur,1.0,50.0,19053
400,IA,Delaware,1.0,235.0,19055
401,IA,Des Moines,1.0,572.0,19057
402,IA,Dickinson,1.0,152.0,19059
403,IA,Dubuque,3.0,1322.0,19061
404,IA,Emmet,1.0,126.0,19063
405,IA,Fayette,2.0,150.0,19065
406,IA,Floyd,1.0,169.0,19067
407,IA,Franklin,1.0,50.0,19069
408,IA,Grundy,1.0,102.0,19075
409,IA,Guthrie,1.0,97.0,19077
410,IA,Hamilton,1.0,133.0,19079
411,IA,Hancock,1.0,50.0,19081
412,IA,Hardin,1.0,55.0,19083
413,IA,Harrison,1.0,50.0,19085
414,IA,Henry,1.0,86.0,19087
415,IA,Howard,1.0,50.0,19089
416,IA,Humboldt,1.0,69.0,19091
417,IA,Ida,1.0,50.0,19093
418,IA,Iowa,1.0,80.0,19095
419,IA,Jackson,1.0,50.0,19097
420,IA,Jasper,1.0,215.0,19099
421,IA,Jefferson,1.0,131.0,19101
422,IA,Johnson,2.0,876.0,19103
423,IA,Kossuth,1.0,140.0,19109
424,IA,Lee,2.0,462.0,19111
425,IA,Linn,2.0,2208.0,19113
426,IA,Lucas,1.0,83.0,19117
427,IA,Lyon,1.0,50.0,19119
428,IA,Madison,1.0,51.0,19121
429,IA,Mahaska,1.0,206.0,19123
430,IA,Marion,2.0,455.0,19125
431,IA,Marshall,1.0,341.0,19127
432,IA,Mitchell,1.0,51.0,19131
433,IA,Monona,1.0,140.0,19133
434,IA,Monroe,1.0,84.0,19135
